Date,BND,EEM,^DJI,^FCHI,^FTSE,^GDAXI,^GSPC,^HSI,^IXIC,^N225
2023-05-10,72.42762756347656,38.84567642211914,33531.328125,7361.2001953125,7741.2998046875,15896.23046875,4137.64013671875,19762.19921875,12306.4404296875,29122.1796875
2023-05-11,72.66309356689453,38.70676040649414,33309.51171875,7381.77978515625,7730.60009765625,15834.91015625,4130.6201171875,19743.7890625,12328.509765625,29126.720703125
2023-05-12,72.28045654296875,38.250335693359375,33300.62109375,7414.85009765625,7754.60009765625,15913.8203125,4124.080078125,19627.240234375,12284.740234375,29388.30078125
2023-05-15,72.09404754638672,38.95481872558594,33348.6015625,7418.2099609375,7777.7001953125,15917.240234375,4136.27978515625,19971.130859375,12365.2099609375,29626.33984375
2023-05-16,71.91743469238281,38.67699432373047,33012.140625,7406.009765625,7751.10009765625,15897.9296875,4109.89990234375,19978.25,12343.0498046875,29842.990234375
2023-05-17,71.78987884521484,38.855594635009766,33420.76953125,7399.43994140625,7723.2001953125,15951.2998046875,4158.77001953125,19560.5703125,12500.5703125,30093.58984375
2023-05-18,71.49555206298828,38.6472282409668,33535.91015625,7446.89013671875,7742.2998046875,16163.3603515625,4198.0498046875,19727.25,12688.83984375,30573.9296875
2023-05-19,71.29932403564453,38.67699432373047,33426.62890625,7491.9599609375,7756.89990234375,16275.3798828125,4191.97998046875,19450.5703125,12657.900390625,30808.349609375
2023-05-22,71.27969360351562,38.9945068359375,33286.578125,7478.16015625,7771.0,16223.990234375,4192.6298828125,19678.169921875,12720.7802734375,31086.8203125
2023-05-23,71.32875061035156,38.38924789428711,33055.51171875,7378.7099609375,7763.0,16152.8603515625,4145.580078125,19431.25,12560.25,30957.76953125
2023-05-24,71.13252258300781,38.101505279541016,32799.921875,7253.4599609375,7627.10009765625,15842.1298828125,4115.240234375,19115.9296875,12484.16015625,30682.6796875
2023-05-25,70.86762237548828,38.022125244140625,32764.650390625,7229.27001953125,7570.89990234375,15793.7998046875,4151.27978515625,18746.919921875,12698.08984375,30801.130859375
2023-05-26,70.95592498779297,38.69683837890625,33093.33984375,7319.18017578125,7627.2001953125,15983.9697265625,4205.4501953125,18746.919921875,12975.6904296875,30916.310546875
2023-05-30,71.42687225341797,38.250335693359375,33042.78125,7209.75,7522.10009765625,15908.91015625,4205.52001953125,18595.779296875,13017.4296875,31328.16015625
2023-05-31,71.66234588623047,37.89313507080078,32908.26953125,7098.7001953125,7446.10009765625,15664.01953125,4179.830078125,18234.26953125,12935.2900390625,30887.880859375
2023-06-01,71.85611724853516,38.567848205566406,33061.5703125,7137.43017578125,7490.2998046875,15853.66015625,4221.02001953125,18216.91015625,13100.98046875,31148.009765625
2023-06-02,71.45281982421875,39.232643127441406,33762.76171875,7270.68994140625,7607.2998046875,16051.23046875,4282.3701171875,18949.939453125,13240.76953125,31524.220703125
2023-06-05,71.46266174316406,39.22271728515625,33562.859375,7200.91015625,7600.0,15963.8896484375,4273.7900390625,19108.5,13229.4296875,32217.4296875
2023-06-06,71.56101989746094,39.56999969482422,33573.28125,7209.0,7628.10009765625,15992.4404296875,4283.85009765625,19099.279296875,13276.419921875,32506.779296875
2023-06-07,71.15772247314453,39.400001525878906,33665.01953125,7202.7900390625,7624.2998046875,15960.5595703125,4267.52001953125,19252.0,13104.900390625,31913.740234375
2023-06-08,71.5118408203125,39.68000030517578,33833.609375,7222.14990234375,7599.7001953125,15989.9599609375,4293.93017578125,19299.1796875,13238.51953125,31641.26953125
2023-06-09,71.36430358886719,39.86000061035156,33876.78125,7213.14013671875,7562.39990234375,15949.83984375,4298.85986328125,19389.94921875,13259.1396484375,32265.169921875
2023-06-12,71.5118408203125,39.939998626708984,34066.328125,7250.35009765625,7570.7001953125,16097.8701171875,4338.93017578125,19404.310546875,13461.919921875,32434.0
2023-06-13,71.19706726074219,40.34000015258789,34212.12109375,7290.7998046875,7594.7998046875,16230.6796875,4369.009765625,19521.419921875,13573.3203125,33018.6484375
2023-06-14,71.25609588623047,40.63999938964844,33979.328125,7328.52978515625,7602.7001953125,16310.7900390625,4372.58984375,19408.419921875,13626.48046875,33502.421875
2023-06-15,71.69873046875,41.02000045776367,34408.05859375,7290.91015625,7628.2998046875,16290.1201171875,4425.83984375,19828.919921875,13782.8203125,33485.48828125
2023-06-16,71.5413589477539,40.880001068115234,34299.12109375,7388.64990234375,7642.7001953125,16357.6298828125,4409.58984375,20040.369140625,13689.5703125,33706.078125
2023-06-20,71.63972473144531,40.08000183105469,34053.87109375,7294.169921875,7569.2998046875,16111.3203125,4388.7099609375,19607.080078125,13667.2900390625,33388.91015625
2023-06-21,71.75775909423828,39.88999938964844,33951.51953125,7260.97021484375,7559.2001953125,16023.1298828125,4365.68994140625,19218.349609375,13502.2001953125,33575.140625
2023-06-22,71.41348266601562,39.75,33946.7109375,7203.27978515625,7502.0,15988.16015625,4381.89013671875,19218.349609375,13630.6103515625,33264.87890625
2023-06-23,71.62004852294922,39.16999816894531,33727.4296875,7163.419921875,7461.89990234375,15829.9404296875,4348.330078125,18889.970703125,13492.51953125,32781.5390625
2023-06-26,71.70857238769531,39.29999923706055,33714.7109375,7184.35009765625,7453.60009765625,15813.0595703125,4328.81982421875,18794.130859375,13335.7802734375,32698.810546875
2023-06-27,71.57086944580078,39.70000076293945,33926.73828125,7215.580078125,7461.5,15846.8603515625,4378.41015625,19148.130859375,13555.669921875,32538.330078125
2023-06-28,71.79710388183594,39.459999084472656,33852.66015625,7286.31982421875,7500.5,15949.0,4376.85986328125,19172.05078125,13591.75,33193.98828125
2023-06-29,71.25609588623047,39.25,34122.421875,7312.72998046875,7471.7001953125,15946.7197265625,4396.43994140625,18934.359375,13591.330078125,33234.140625
2023-06-30,71.50201416015625,39.560001373291016,34407.6015625,7400.06005859375,7531.5,16147.900390625,4450.3798828125,18916.4296875,13787.919921875,33189.0390625
2023-07-03,71.29885864257812,40.0,34418.46875,7386.7001953125,7527.2998046875,16081.0400390625,4455.58984375,19306.58984375,13816.76953125,33753.328125
2023-07-05,71.00301361083984,39.7599983215332,34288.640625,7310.81005859375,7442.10009765625,15937.580078125,4446.81982421875,19110.380859375,13791.650390625,33338.69921875
2023-07-06,70.54938507080078,38.95000076293945,33922.26171875,7082.2900390625,7280.5,15528.5400390625,4411.58984375,18533.05078125,13679.0400390625,32773.01953125
2023-07-07,70.50994873046875,39.38999938964844,33734.87890625,7111.8798828125,7256.89990234375,15603.400390625,4398.9501953125,18365.69921875,13660.7197265625,32388.419921875
2023-07-10,70.7564697265625,39.41999816894531,33944.3984375,7143.68994140625,7273.7998046875,15673.16015625,4409.52978515625,18479.720703125,13685.48046875,32189.73046875
2023-07-11,70.90440368652344,39.81999969482422,34261.421875,7220.009765625,7282.5,15790.33984375,4439.259765625,18659.830078125,13760.7001953125,32203.5703125
2023-07-12,71.46650695800781,40.709999084472656,34347.4296875,7333.009765625,7416.10009765625,16023.0,4472.16015625,18860.94921875,13918.9599609375,31943.9296875
2023-07-13,71.90040588378906,41.2400016784668,34395.140625,7369.7998046875,7440.2001953125,16141.0302734375,4510.0400390625,19350.619140625,14138.5703125,32419.330078125
2023-07-14,71.56511688232422,41.0099983215332,34509.03125,7374.5400390625,7434.60009765625,16105.0703125,4505.419921875,19413.779296875,14113.7001953125,32391.259765625
